ER30001,ER30002,CP_FLAG,CDS97KID,CDS02KID,CDS07KID,TA05KID,TA05_RESP,TA05_PSID,TA07KID,TA07_RESP,TA07_PSID,TA09KID,TA09_RESP,TA09_PSID,TA11KID,TA11_RESP,TA11_PSID,PCGID_97,PCGPN_97,PCG97_REL,OCGID_97,OCGPN_97,OCG97_REL,PCGID_02,PCGPN_02,PCG02_REL,OCGID_02,OCGPN_02,OCG02_REL,PCGID_07,PCGPN_07,PCG07_REL,OCGID_07,OCGPN_07,OCG07_REL
6519,38,1,1,1,1,,,,,,,,,,,,,6519,30,1,,,,6519,30,1,,,,6519,30,1,,,
6519,40,1,1,1,1,,,,,,,,,,,,,6519,30,1,,,,6519,30,1,,,,6519,30,1,,,
6522,30,1,1,,,,,,,,,,,,,,,6522,4,1,,,,,,,,,,,,,,,
6522,32,1,1,1,1,,,,,,,,,,,,,6522,4,1,,,,6522,1,3,,,,6522,4,1,,,
6537,36,1,1,1,,,,,1,3,6080,,,,,,,6537,31,1,,,,6537,31,1,,,,,,,,,
6537,37,1,1,,,,,,1,3,4726,1,1,5177,1,1,8508,6537,32,1,,,,,,,,,,,,,,,
6537,38,1,1,,,,,,,,,,,,,,,6537,31,1,,,,,,,,,,,,,,,
6537,39,1,1,,1,,,,,,,,,,,,,6537,32,1,,,,,,,,,,6537,32,1,6537,185,2
6539,174,1,1,1,1,,,,,,,,,,1,3,6775,6539,170,1,6539,175,2,6539,170,1,6539,175,2,6539,170,1,,,
6541,31,1,1,1,1,,,,,,,,,,,,,6541,179,1,6541,4,2,6541,179,1,6541,4,2,6541,4,2,6541,179,1
6545,37,1,1,1,,1,3,3610,1,1,8144,1,1,6787,,,,6545,7,1,6545,177,,6545,7,1,6545,177,,,,,,,
